id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1101,Behavioral Physical Activity Laboratory (BPAL),"test, prod","bpal.stg.umn.edu, bpal.dev.umn.edu, bpal.dl8.umn.edu, yogamoves.umn.edu",sweet006,bpal.umn.edu,CEHD - College of Education & Human Development,Moved from Kinesiology Administration (11222) on 2025-05-14,True,,True,Drupal
233,Center for Advanced Studies in Child Welfare,"dev, test, prod","cascw.dev.umn.edu, cascw.stg.umn.edu, cascw.umn.edu, www.cascw.umn.edu",nich0121,cascw.umn.edu,CEHD - College of Education & Human Development,None,True,,True,Drupal
269,Check and Connect Trainer Resources,"dev, test, prod","tttresources-checkandconnect.dev.umn.edu, tttresources-checkandconnect.stg.umn.edu, tttresources.checkandconnect.umn.edu, www.tttresources.checkandconnect.umn.edu, tttresources.checkandconnect.prd.umn.edu",weste050,tttresources.checkandconnect.umn.edu,CEHD - College of Education & Human Development,None,True,,True,Drupal
238,Child Development for Child Welfare,"dev, test, prod","cd4cw.dev.umn.edu, cd4cw.stg.umn.edu","baile045, jeff, jbehr, turg0018",cd4cw.umn.edu,CEHD - College of Education & Human Development,None,True,,True,Drupal
240,Disability and WELLness Laboratory (DWELL),"dev, prod","dwell.dev.umn.edu, dwell.stg.umn.edu",jeff,dwell.umn.edu,CEHD - College of Education & Human Development,None,True,,True,Drupal
1106,Global Institute for Responsible Sport Organizations,"test, prod","girso.dl8.umn.edu, girso.dev.umn.edu, girso.stg.umn.edu","sweet006, bens0746, kin",girso.umn.edu,CEHD - College of Education & Human Development,Moved from Kinesiology Administration (11222) on 2025-05-14,True,,True,Drupal
249,Human Sensorimotor Control Lab,"dev, test, prod","hsc.dev.umn.edu, hsc.stg.umn.edu, hsc-d9.prd.umn.edu, www.hsc.umn.edu","jeff, jbehr, turg0018",hsc.umn.edu,CEHD - College of Education & Human Development,None,True,,True,Drupal
1102,Laboratory of Physiological Hygiene and Exercise Science,"test, prod","lphes.stg.umn.edu, lphes.dev.umn.edu, lphes.dl8.umn.edu",sweet006,lphes.umn.edu,CEHD - College of Education & Human Development,Moved from Kinesiology Administration (11222) on 2025-05-14,True,,True,Drupal
239,Media Analysis Research in International Sport,"dev, prod","maris.stg.umn.edu, maris.dev.umn.edu",jeff,maris.umn.edu,CEHD - College of Education & Human Development,None,True,,True,Drupal
272,MN LEND,"dev, test, prod","lend.dev.umn.edu, lend.stg.umn.edu, lend.prd.umn.edu, lend.umn.edu, www.lend.umn.edu",weste050,lend.umn.edu,CEHD - College of Education & Human Development,Moved from CEHD - ICI - Institute on Community Integration on 2025-05-14,True,,True,Drupal
255,NeuroRehabilitation Across the Lifespan Laboratory,prod,"neural.dev.umn.edu, neural.stg.umn.edu","sweet006, jbehr, turg0018",neural.umn.edu,CEHD - College of Education & Human Development,None,True,,True,Drupal
270,Person-Centered Approaches in Mental Health,"dev, test, prod","pcmh-d9.dev.umn.edu, pcmh-d9.stg.umn.edu, www.pcmh.umn.edu",weste050,pcmh.umn.edu,CEHD - College of Education & Human Development,Moved from CEHD - ICI - Institute on Community Integration on 2025-05-14,True,,True,Drupal
246,Person-Centered Thinking and Planning,"dev, test, prod","pctp-d9.dev.umn.edu, pctp-d9.stg.umn.edu, pctp.prd.umn.edu, www.pctp.umn.edu",weste050,pctp.umn.edu,CEHD - College of Education & Human Development,None,True,,True,Drupal
1103,School of Kinesiology - Instructor Resources,"test, prod","kinstructor.stg.umn.edu, kinstructor.dev.umn.edu, kinstructor.dl8.umn.edu, kinstructor.umn.edu","sweet006, kin",kinstructor.umn.edu,CEHD - College of Education & Human Development,Moved from Kinesiology Administration (11222) on 2025-05-14,True,,True,Drupal
1107,School of Kinesiology Student Council,"dev, test, prod","kinsc.stg.umn.edu, kinsc.dev.umn.edu, kinsc.dl8.umn.edu","blewis, amahnan",kinsc.umn.edu,CEHD - College of Education & Human Development,Moved from Kinesiology Administration (11222) on 2025-05-14,True,,True,Drupal
232,"Sport, Exercise, and Performance Psychology Laboratory",prod,"sepplab.stg.umn.edu, sepplab.dev.umn.edu",sweet006,sepplab.umn.edu,CEHD - College of Education & Human Development,None,True,,True,Drupal
258,Stress and Trauma Lab,"test, prod","stresslab.dl8.umn.edu, stresslab.dev.umn.edu, stresslab.stg.umn.edu",smoeller,stresslab.psych.umn.edu,CEHD - College of Education & Human Development,None,True,,True,Drupal
1104,Women Coaches Symposium,"test, prod","wcs.stg.umn.edu, wcs.dev.umn.edu, wcs.dl8.umn.edu","sweet006, kin",wcs.umn.edu,CEHD - College of Education & Human Development,Moved from Kinesiology Administration (11222) on 2025-05-14,True,,True,Drupal
